INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	
ID(掉落包编号)	BoxValue(掉落包价值)	广播类型ID（Form DropNotify.txt）	是否强制绑定	Item1ID	Level	Item2ID	Level	Item3ID	Level	Item4ID	Level	Item5ID	Level	Item6ID	Level	Item7ID	Level	Item8ID	Level	Item9ID	Level	Item10ID	Level	Item11ID	Level	Item12ID	Level	Item13ID	Level	Item16ID	Level	Item15ID	Level	Item16ID	Level	Item17ID	Level	Item18ID	Level	Item19ID	Level	Item20ID	Level	Item21ID	Level	Item22ID	Level	Item23ID	Level	Item24ID	Level	Item25ID	Level	Item26ID	Level	Item27ID	Level	Item28ID	Level	Item29ID	Level	Item30ID	Level	Item31ID	Level	Item32ID	Level	Item33ID	Level	Item34ID	Level	Item35ID	Level	Item36ID	Level	Item37ID	Level	Item38ID	Level	Item39ID	Level	Item40ID	Level	Item41ID	Level	Item42ID	Level	Item43ID	Level	Item44ID	Level	Item45ID	Level	Item46ID	Level	Item47ID	Level	Item48ID	Level	Item49ID	Level	Item50ID	Level	Item51ID	Level	Item52ID	Level	Item53ID	Level	Item54ID	Level	Item55ID	Level	Item56ID	Level	Item57ID	Level	Item58ID	Level	Item59ID	Level	Item60ID	Level	Item61ID	Level	Item62ID	Level	Item63ID	Level	Item64ID	Level	Item65ID	Level	Item66ID	Level	Item67ID	Level	Item68ID	Level	Item69ID	Level	Item70ID	Level	Item71ID	Level	Item72ID	Level	Item73ID	Level	Item74ID	Level	Item75ID	Level	Item76ID	Level	Item77ID	Level	Item78ID	Level	Item79ID	Level	Item80ID	Level	Item81ID	Level	Item82ID	Level	Item83ID	Level	Item84ID	Level	Item85ID	Level	Item86ID	Level	Item87ID	Level	Item88ID	Level	Item89ID	Level	Item90ID	Level	Item91ID	Level	Item92ID	Level	Item93ID	Level	Item94ID	Level	Item95ID	Level	Item96ID	Level	Item97ID	Level	Item98ID	Level	Item99ID	Level	Item100ID	Level	101	Level	102	Level	103	Level	104	Level	105	Level	106	Level	107	Level	108	Level	109	Level	110	Level	111	Level	112	Level	113	Level	114	Level	115	Level	116	Level	117	Level	118	Level	119	Level	120	Level	121	Level	122	Level	123	Level	124	Level	125	Level	126	Level	127	Level	128	Level	129	Level	130	Level	131	Level	132	Level	133	Level	134	Level	135	Level	136	Level	137	Level	138	Level	139	Level	140	Level	141	Level	142	Level	143	Level	144	Level	145	Level	146	Level	147	Level	148	Level	149	Level	150	Level	151	Level	152	Level	153	Level	154	Level	155	Level	156	Level	157	Level	158	Level	159	Level	160	Level	161	Level	162	Level	163	Level	164	Level	165	Level	166	Level	167	Level	168	Level	169	Level	170	Level	171	Level	172	Level	173	Level	174	Level	175	Level	176	Level	177	Level	178	Level	179	Level	180	Level	181	Level	182	Level	183	Level	184	Level	185	Level	186	Level	187	Level	188	Level	189	Level	190	Level	191	Level	192	Level	193	Level	194	Level	195	Level	196	Level	197	Level	198	Level	199	Level	200	Level	201	Level	202	Level	203	Level	204	Level	205	Level	206	Level	207	Level	208	Level	209	Level	210	Level	211	Level	212	Level	213	Level	214	Level	215	Level	216	Level	217	Level	218	Level	219	Level	220	Level	221	Level	222	Level	223	Level	224	Level	225	Level	226	Level	227	Level	228	Level	229	Level	230	Level	231	Level	232	Level	233	Level	234	Level	235	Level	236	Level	237	Level	238	Level	239	Level	240	Level	241	Level	242	Level	243	Level	244	Level	245	Level	246	Level	247	Level	248	Level	249	Level	250	Level	251	Level	252	Level	253	Level	254	Level	255	Level	256	Level	
#潇湘综合修改工具 QQ群923288704 潇湘QQ1400003003																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
##本服爆率由【小幽可视化智能爆率编辑器修改】加QQ群下载:108148958·小幽QQ:1402332789																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	100	137	1	30103063	-1	38004046	-1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
2	100	137	1	38000957	-1	-1	-1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
3	200	68	1	39901019	-1	-1	-1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
4	100	137	1	20310122	-1	20310123	-1	20310131	-1	20310132	-1	20310140	-1	20310141	-1	20310149	-1	20310150	-1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
5	100	137	1	20800033	-1	20800034	-1	20800031	-1	20800032	-1	20800039	-1	20800040	-1	20800041	-1	20800042	-1	20800043	-1	20800044	-1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											-1	-1	
6	300	137	1	38002827	-1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
7	5600	137	1	31000004	-1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													-1	-1	
